name,address,number,picture,stars,quality,delivery,accuracy
"Larson, Harber and Christiansen","6376 Bernhard Inlet","1-578-767-4812 x2669","http://lorempixel.com/640/480/food",1,25,16,28
"Jaskolski, Connelly and Goldner","68927 Kristin Junctions","1-554-865-9224","http://lorempixel.com/640/480/food",5,39,90,35
"Schaden, Dooley and Stamm","16594 Raymond Mill","(642) 322-5322 x2789","http://lorempixel.com/640/480/food",4,31,20,48
"Lueilwitz - Smitham","126 Mann Green","937-009-3905 x17857","http://lorempixel.com/640/480/food",2,82,61,20
"Von - Tillman","18463 Hyatt Landing","479-323-2345 x837","http://lorempixel.com/640/480/food",3,4,60,10
"Fahey, Wolf and Russel","8089 Graham Canyon","727-467-5729 x307","http://lorempixel.com/640/480/food",0,45,67,1
"Wolf, Roberts and Friesen","68007 Kuhic Court","947-514-9168","http://lorempixel.com/640/480/food",3,1,49,95
"Friesen - Pouros","6854 Bernhard Road","(082) 655-5913 x59743","http://lorempixel.com/640/480/food",2,86,76,2
"Thiel and Sons","6573 Johns Mission","478.817.9261 x072","http://lorempixel.com/640/480/food",0,3,70,83
"Crona, Heathcote and Grant","6235 Colleen Land","005-410-0923","http://lorempixel.com/640/480/food",5,29,49,6
"Fahey, Haag and Kuphal","86626 Nitzsche Field","1-547-855-9894 x0501","http://lorempixel.com/640/480/food",4,8,56,41
"Langworth LLC","851 Hoppe Forks","1-414-336-3172 x131","http://lorempixel.com/640/480/food",3,10,62,92
"Schmidt - Bernier","84448 Lynch Stream","033.930.4649","http://lorempixel.com/640/480/food",0,74,44,16
"Langworth LLC","947 Buckridge Fields","(202) 409-1748","http://lorempixel.com/640/480/food",0,29,70,61
"Rice, Upton and McGlynn","634 Hauck Fords","580-298-7746 x922","http://lorempixel.com/640/480/food",5,96,88,85
"Miller - West","114 Garett Trail","313.741.7889","http://lorempixel.com/640/480/food",0,74,51,71
"Schaefer - Walter","4919 Casandra Dam","(125) 151-2988","http://lorempixel.com/640/480/food",0,47,44,78
"Witting and Sons","6667 Demetris Tunnel","1-923-354-5404 x748","http://lorempixel.com/640/480/food",5,40,96,38
"Braun - Mills","678 Goyette Lane","(072) 759-8242 x94466","http://lorempixel.com/640/480/food",3,41,31,11
"Heller Group","8403 Moore Expressway","931-109-7906 x145","http://lorempixel.com/640/480/food",3,87,26,73
"Johnston Group","228 Ocie Rue","1-448-366-9402 x2882","http://lorempixel.com/640/480/food",4,70,25,54
"Ullrich and Sons","3323 Mohr Walks","441.583.5993","http://lorempixel.com/640/480/food",2,21,44,98
"Cole LLC","8491 Hickle Views","(267) 844-0674","http://lorempixel.com/640/480/food",3,27,38,96
"Becker - Gulgowski","1133 Botsford Harbors","477-736-1519 x3082","http://lorempixel.com/640/480/food",3,16,41,50
"Spencer, Lesch and Bradtke","553 Sarah Burg","(058) 931-7025","http://lorempixel.com/640/480/food",3,57,86,72
"Schuppe, Mante and Gislason","495 Westley Radial","(407) 706-8554 x20967","http://lorempixel.com/640/480/food",1,30,20,38
"Lowe, Keebler and Doyle","3041 Deanna Roads","(627) 682-3405 x8978","http://lorempixel.com/640/480/food",3,59,82,22
"Paucek, Halvorson and Kreiger","22368 Kautzer Tunnel","(696) 332-4426 x69609","http://lorempixel.com/640/480/food",0,75,18,6
"Medhurst, Gleichner and Stiedemann","68487 Alejandra Ports","495.948.4039","http://lorempixel.com/640/480/food",3,79,89,12
"Hermiston, Gleichner and Donnelly","427 Soledad Flats","1-926-863-6378 x69078","http://lorempixel.com/640/480/food",5,0,19,57
"Littel, Walter and Mante","101 Presley Parks","1-187-399-9688","http://lorempixel.com/640/480/food",1,89,28,7
"Roob Inc","0832 Cremin Loaf","(612) 327-0365 x114","http://lorempixel.com/640/480/food",3,63,82,64
"Stamm - McKenzie","4450 Orie Point","(521) 700-0886","http://lorempixel.com/640/480/food",0,45,98,86
"Cormier - Rau","71417 Allen Trafficway","979-020-6154","http://lorempixel.com/640/480/food",1,48,93,36
"Kreiger - Pfeffer","8406 Schamberger Street","1-135-824-7673","http://lorempixel.com/640/480/food",2,47,88,97
"Ernser, Kihn and Tremblay","5964 Collins Stream","953.925.5856 x722","http://lorempixel.com/640/480/food",1,39,1,1
"Zulauf, D'Amore and Purdy","48344 Rogahn Drive","021-342-5225 x1497","http://lorempixel.com/640/480/food",1,24,16,29
"Gottlieb - Streich","3283 Hirthe Estate","1-577-414-0703","http://lorempixel.com/640/480/food",0,30,80,84
"Pagac - Blanda","027 Kaia Track","(519) 121-9639","http://lorempixel.com/640/480/food",2,94,43,93
"Jones, Jast and Batz","10023 Nicholas Motorway","383.256.2253","http://lorempixel.com/640/480/food",5,61,7,83
"Goldner - Koss","9818 Luigi Spring","967-672-9325","http://lorempixel.com/640/480/food",3,33,89,58
"Gerlach, Mosciski and Runolfsson","53488 Koss Plain","(476) 292-2080 x43249","http://lorempixel.com/640/480/food",0,27,0,21
"Renner, Douglas and Doyle","32108 Darrion Union","306-267-5272","http://lorempixel.com/640/480/food",5,66,82,12
"Bosco - Ratke","6800 Genevieve Fields","1-405-710-1337","http://lorempixel.com/640/480/food",1,55,35,43
"Metz, Jenkins and Koepp","7919 Beatrice Mountains","827-213-3754","http://lorempixel.com/640/480/food",5,80,51,85
"Heidenreich Inc","64011 Leuschke Land","202-116-7396","http://lorempixel.com/640/480/food",1,98,50,41
"Welch Group","486 Dan Summit","738-730-3128 x098","http://lorempixel.com/640/480/food",0,91,83,0
"Mosciski - Carter","12904 Halvorson Lakes","(678) 394-6996 x005","http://lorempixel.com/640/480/food",2,4,10,74
"Okuneva and Sons","90365 Zulauf Squares","406.311.9895","http://lorempixel.com/640/480/food",3,72,73,63
"Batz, Dietrich and Tromp","70936 Carmella Freeway","1-849-964-1329 x62148","http://lorempixel.com/640/480/food",1,3,6,0
"Torp Group","13126 Mabelle Fork","934.461.5967","http://lorempixel.com/640/480/food",5,86,93,1
"Bahringer, Schiller and Stokes","09369 Houston Course","252.209.8273 x03512","http://lorempixel.com/640/480/food",4,21,34,36
"Kihn Inc","878 Gerda Course","600.811.9155","http://lorempixel.com/640/480/food",4,85,66,54
"Herzog, Block and Heidenreich","9825 Ignatius Extensions","670.353.2552 x8366","http://lorempixel.com/640/480/food",2,95,33,5
"Kris Group","6126 Landen Isle","662-914-8521","http://lorempixel.com/640/480/food",0,69,3,79
"Harris and Sons","3181 Torp Burgs","1-177-005-1276","http://lorempixel.com/640/480/food",4,53,0,28
"Wehner - Nitzsche","341 Mae Glen","1-255-284-9541 x535","http://lorempixel.com/640/480/food",0,44,81,1
"Moen - Cartwright","926 Baylee Ramp","1-735-232-2715 x42455","http://lorempixel.com/640/480/food",2,58,95,19
"Kessler Inc","80963 Sibyl Heights","(543) 127-3746 x744","http://lorempixel.com/640/480/food",1,42,19,0
"Greenholt, Kuvalis and Terry","6823 Auer Forge","174.815.0000 x860","http://lorempixel.com/640/480/food",5,1,45,65
"Smith, Hills and Orn","96812 Cole Turnpike","(967) 436-6431","http://lorempixel.com/640/480/food",2,97,71,17
"Weimann - Labadie","904 Magali Divide","388-057-2314","http://lorempixel.com/640/480/food",2,37,49,26
"Kris, Beer and O'Reilly","867 Julien Ford","(930) 997-3231","http://lorempixel.com/640/480/food",3,56,65,82
"Jacobson, Abshire and Lind","8897 Horace Plains","(437) 223-3631 x83586","http://lorempixel.com/640/480/food",0,96,44,67
"Waters LLC","822 Julian Oval","924-995-5524 x9043","http://lorempixel.com/640/480/food",4,60,9,71
"Bailey - Kiehn","416 Kulas Isle","257-571-3761 x455","http://lorempixel.com/640/480/food",3,59,15,50
"Maggio - Turcotte","1640 Wilton Expressway","1-207-748-5113","http://lorempixel.com/640/480/food",1,98,50,84
"Goyette - Hermann","135 Kuhn Court","907-692-5528 x738","http://lorempixel.com/640/480/food",3,69,71,11
"Breitenberg Group","993 Clotilde Ways","474-184-7907","http://lorempixel.com/640/480/food",1,84,74,37
"Schmitt LLC","72056 Colton Loop","844.313.4799","http://lorempixel.com/640/480/food",1,36,46,36
"Gleason, Kassulke and Bauch","0796 Walter Groves","738-857-3074","http://lorempixel.com/640/480/food",5,41,94,15
"Rolfson, O'Reilly and Lemke","0994 Gusikowski Row","(944) 159-8255 x85769","http://lorempixel.com/640/480/food",4,97,31,75
"Fay Group","1155 Susan Plains","(792) 804-7633 x0224","http://lorempixel.com/640/480/food",0,85,60,38
"Ankunding, Keeling and Prohaska","8077 Chanel Junctions","(116) 607-1308 x64785","http://lorempixel.com/640/480/food",0,98,0,60
"Hansen, Hessel and Bahringer","5524 Chet Prairie","192.753.1823","http://lorempixel.com/640/480/food",2,61,22,9
"Simonis Group","78306 Kulas Walk","1-317-145-9056 x3406","http://lorempixel.com/640/480/food",4,98,31,38
"Schaefer - O'Hara","25047 Hettinger Light","810.709.2887 x54430","http://lorempixel.com/640/480/food",1,79,25,42
"Corwin Inc","9018 Shields Ports","546.066.6031","http://lorempixel.com/640/480/food",2,98,70,3
"Connelly Inc","29786 Dena Stream","594-362-0059","http://lorempixel.com/640/480/food",2,79,52,61
"Schaden, Cartwright and Volkman","621 Arielle Isle","1-708-218-2317","http://lorempixel.com/640/480/food",5,12,40,55
"Marvin LLC","124 Kari Mall","1-895-630-1019 x032","http://lorempixel.com/640/480/food",3,49,98,16
"Ratke, Gleichner and Williamson","26246 Grimes Keys","1-092-794-9860 x75834","http://lorempixel.com/640/480/food",3,98,50,69
"Kuhlman LLC","736 Heloise Burg","1-211-353-1515 x6841","http://lorempixel.com/640/480/food",4,91,85,32
"Kshlerin - Bailey","78498 Waelchi Rue","1-124-942-6486 x679","http://lorempixel.com/640/480/food",4,98,14,84
"Parker, Anderson and Emard","17116 Fabian Turnpike","1-273-527-6240","http://lorempixel.com/640/480/food",0,23,82,29
"Walsh - Ortiz","298 Orn Fords","868.505.3002 x8961","http://lorempixel.com/640/480/food",2,84,72,50
"Rempel Group","28311 Marisol Fort","(455) 942-1953","http://lorempixel.com/640/480/food",1,15,43,56
"Baumbach Inc","3444 Armstrong Loop","490.468.2128","http://lorempixel.com/640/480/food",0,38,26,62
"Hackett - Moore","67145 Kathryn Turnpike","1-971-914-1424 x10647","http://lorempixel.com/640/480/food",3,54,29,96
"Walter, Will and Gutmann","92883 Reginald Harbor","675.289.4889 x240","http://lorempixel.com/640/480/food",5,66,14,52
"Gorczany, Terry and Reichel","764 Francisco Pike","1-316-853-9156 x4822","http://lorempixel.com/640/480/food",5,12,33,88
"Roberts LLC","959 Lynch Port","313-092-7858 x3541","http://lorempixel.com/640/480/food",3,55,76,40
"Sporer - Lebsack","46934 Lonie Stravenue","690.567.5610 x1734","http://lorempixel.com/640/480/food",2,31,42,22
"Purdy - Funk","6354 Gaylord Drive","(713) 394-1089","http://lorempixel.com/640/480/food",3,70,75,81
"Effertz Inc","304 O'Kon Loaf","844.106.0249 x5051","http://lorempixel.com/640/480/food",1,38,41,17
"Wuckert LLC","04327 Pietro Points","1-788-849-9498","http://lorempixel.com/640/480/food",1,91,95,18
"Wolff - Raynor","9439 Baby Views","1-419-949-3330 x0807","http://lorempixel.com/640/480/food",2,11,53,15
"Gerhold, Steuber and Harber","340 Nienow Park","565-327-2623","http://lorempixel.com/640/480/food",3,44,90,75
"Roberts - Morissette","606 Justine Alley","1-914-412-8516 x313","http://lorempixel.com/640/480/food",4,1,81,47
"Olson LLC","22636 Hartmann Stravenue","(957) 251-0381 x7784","http://lorempixel.com/640/480/food",1,77,6,31
"Kessler Group","75222 Mercedes Villages","(017) 123-4422","http://lorempixel.com/640/480/food",2,64,98,59
"Maggio, Kemmer and Kovacek","052 Schmidt Harbors","946-449-8780","http://lorempixel.com/640/480/food",4,64,26,76
"Price - Padberg","067 Jerde Ranch","(710) 665-9663 x490","http://lorempixel.com/640/480/food",5,5,19,4
"Dickinson LLC","73291 Blanda Via","715.833.2566 x490","http://lorempixel.com/640/480/food",3,53,39,50
"Torphy - Paucek","1789 Ernest Crescent","1-353-767-6697 x711","http://lorempixel.com/640/480/food",5,9,13,17
"Krajcik - Borer","869 Schumm Rest","1-212-685-2094 x02389","http://lorempixel.com/640/480/food",5,19,47,40
"Mann - Dach","564 Sanford Trafficway","(158) 128-8815 x36610","http://lorempixel.com/640/480/food",0,68,65,32
"Haag and Sons","796 Brooke Gardens","235.558.1958","http://lorempixel.com/640/480/food",5,6,20,83
"Rippin Inc","2489 Nienow Harbors","881.311.7930","http://lorempixel.com/640/480/food",2,59,89,96
"Kertzmann - Turner","96190 Bell Street","1-664-250-5688 x036","http://lorempixel.com/640/480/food",3,47,78,75
"Quitzon - Boyle","40941 Baumbach Pike","620-370-5199","http://lorempixel.com/640/480/food",0,88,11,87
"Breitenberg Group","14585 Sonny Walks","(249) 993-9761 x567","http://lorempixel.com/640/480/food",2,23,89,27
"Halvorson - Abshire","75978 Sherwood Greens","(248) 245-7178","http://lorempixel.com/640/480/food",4,89,31,79
"Welch - Smitham","4635 Halvorson Track","829-621-8230","http://lorempixel.com/640/480/food",5,97,57,7
"Sipes Inc","117 London Path","573.376.6032 x6974","http://lorempixel.com/640/480/food",4,75,13,59
"Ferry - Parisian","447 Eduardo Trail","1-849-831-8318","http://lorempixel.com/640/480/food",2,84,41,99
"Hauck Inc","89903 Tillman Ports","983.989.7350","http://lorempixel.com/640/480/food",3,67,83,0
"Hilpert Group","4106 Minerva Mill","668-091-8987 x3897","http://lorempixel.com/640/480/food",1,26,47,75
"Witting, Will and Kunde","983 Conroy Track","(439) 335-7773","http://lorempixel.com/640/480/food",3,10,80,100
"Wolff, Jacobson and Zulauf","4983 Hand Way","1-838-840-0880 x591","http://lorempixel.com/640/480/food",1,49,68,17
"Lueilwitz - Kutch","462 Wayne Trail","(822) 959-0241","http://lorempixel.com/640/480/food",1,56,56,26
"Paucek, Littel and Stiedemann","04265 Ward Loaf","(208) 800-1059 x824","http://lorempixel.com/640/480/food",2,6,64,71
"Gusikowski - Reinger","5062 Faustino Square","947-929-8434 x04587","http://lorempixel.com/640/480/food",5,97,91,24
"Weimann, Schiller and Schowalter","63924 Cassin Locks","639-820-4309 x680","http://lorempixel.com/640/480/food",4,11,39,79
"Zieme - O'Reilly","494 Ankunding Bypass","(171) 830-4769 x8495","http://lorempixel.com/640/480/food",1,69,14,33
"Hettinger and Sons","709 Marlin Villages","020-515-5282 x90446","http://lorempixel.com/640/480/food",0,35,15,0
"Stanton Group","506 Langosh Corner","590-073-7509 x79770","http://lorempixel.com/640/480/food",2,37,54,70
"Gleichner LLC","878 Becker Loaf","(566) 276-7832","http://lorempixel.com/640/480/food",5,7,88,15
"Roberts - Mitchell","617 Leilani Shoals","1-247-581-2602 x20237","http://lorempixel.com/640/480/food",1,11,61,57
"Willms - Murazik","036 Hal Overpass","286-538-1269","http://lorempixel.com/640/480/food",1,68,91,11
"Botsford, Emard and Bergnaum","3592 Morissette Stravenue","192.645.8588","http://lorempixel.com/640/480/food",0,64,49,69
"Weimann and Sons","34744 Amy Field","1-624-560-4575 x44156","http://lorempixel.com/640/480/food",0,81,62,36
"Williamson and Sons","092 Abbott Corner","1-526-790-2060 x97307","http://lorempixel.com/640/480/food",0,98,4,14
"Denesik - Pouros","508 Darwin Green","1-714-081-1176 x01179","http://lorempixel.com/640/480/food",2,44,86,67
"Jenkins and Sons","382 Monahan Isle","547-054-0410 x02786","http://lorempixel.com/640/480/food",0,25,38,5
"Ratke, Schuster and Harvey","364 Auer Cape","588.804.3232 x3140","http://lorempixel.com/640/480/food",0,75,41,60
"McClure LLC","624 Cletus Ferry","122.586.2790","http://lorempixel.com/640/480/food",1,51,97,92
"Gorczany - Kessler","3231 Mauricio Harbors","843.284.1129 x216","http://lorempixel.com/640/480/food",1,58,91,88
"Rodriguez Group","52262 Kara Locks","643.078.2067 x8273","http://lorempixel.com/640/480/food",3,12,34,1
"Bins - Huels","187 Noah Mall","1-611-123-3337 x936","http://lorempixel.com/640/480/food",4,9,68,32
